variant,split,best_epoch,masked_raw_feature_count,raw_false_alarm_rate,temporal_false_alarm_rate,wholly_normal_mission_raw_far,pre_fault_segment_raw_far,raw_episode_count,raw_episodes_at_least_8_s,mode_macro_f1,joint_macro_f1,normal_recall,no_output_recall,thrust_loss_recall,fault_detection_recall,formal_ticket_count,false_maintenance_tickets,no_output_ticket_recall,thrust_loss_ticket_recall,mean_ticket_detection_delay_s
baseline,validation,13,0,0.07459207459207459,0.07381507381507381,0.14009661835748793,0.062037037037037036,29,3,0.8365452127624363,0.7919648242843714,0.9254079254079254,0.987688098495212,0.5690322580645162,0.7742363877822045,30,1,1.0,0.6111111111111112,9.991379047262258
baseline,test,13,0,0.1172106824925816,0.10905044510385757,0.30434782608695654,0.08326029798422437,45,8,0.8756272240406059,0.8023832945527131,0.8827893175074184,0.9932065217391305,0.7450424929178471,0.8730929264909847,35,1,1.0,0.8888888888888888,13.472058801090016
motion_loss_evidence,validation,21,6,0.06293706293706294,0.05439005439005439,0.15458937198067632,0.04537037037037037,23,3,0.8361401037679684,0.7977636152433487,0.9370629370629371,0.987688098495212,0.5535483870967742,0.7642762284196547,31,0,1.0,0.7222222222222222,12.31290288125315
motion_loss_evidence,test,21,6,0.10682492581602374,0.10682492581602374,0.24154589371980675,0.08238387379491674,46,6,0.8854551681294559,0.8012866477308106,0.8931750741839762,0.9945652173913043,0.7620396600566572,0.8807212205270458,35,1,1.0,0.8888888888888888,12.873529322007123
