seed,split,baseline_raw_false_alarm_rate,candidate_raw_false_alarm_rate,delta_raw_false_alarm_rate,baseline_temporal_false_alarm_rate,candidate_temporal_false_alarm_rate,delta_temporal_false_alarm_rate,baseline_joint_macro_f1,candidate_joint_macro_f1,delta_joint_macro_f1,baseline_no_output_ticket_recall,candidate_no_output_ticket_recall,delta_no_output_ticket_recall,baseline_thrust_loss_ticket_recall,candidate_thrust_loss_ticket_recall,delta_thrust_loss_ticket_recall,baseline_false_maintenance_tickets,candidate_false_maintenance_tickets,delta_false_maintenance_tickets
42,validation,0.08702408702408702,0.059052059052059055,-0.02797202797202797,0.07692307692307693,0.05672105672105672,-0.020202020202020207,0.8055430271760815,0.805416102643554,-0.0001269245325274948,1.0,1.0,0.0,0.6666666666666666,0.7222222222222222,0.05555555555555558,0,0,0
42,test,0.1261127596439169,0.10237388724035608,-0.02373887240356083,0.12388724035608309,0.09198813056379822,-0.03189910979228487,0.7980933505757034,0.8006937436605036,0.002600393084800201,1.0,1.0,0.0,0.7777777777777778,0.7777777777777778,0.0,0,0,0
43,validation,0.07459207459207459,0.06293706293706294,-0.011655011655011649,0.07381507381507381,0.05439005439005439,-0.019425019425019417,0.7919648242843714,0.7977636152433487,0.005798790958977285,1.0,1.0,0.0,0.6111111111111112,0.7222222222222222,0.11111111111111105,1,0,-1
43,test,0.1172106824925816,0.10682492581602374,-0.010385756676557861,0.10905044510385757,0.10682492581602374,-0.0022255192878338353,0.8023832945527131,0.8012866477308106,-0.0010966468219024694,1.0,1.0,0.0,0.8888888888888888,0.8888888888888888,0.0,1,1,0
44,validation,0.07925407925407925,0.11344211344211344,0.03418803418803419,0.08080808080808081,0.10256410256410256,0.021756021756021746,0.7750050929066963,0.77271399570864,-0.0022910971980563133,1.0,1.0,0.0,0.6111111111111112,0.6666666666666666,0.05555555555555547,1,0,-1
44,test,0.1142433234421365,0.1609792284866469,0.04673590504451039,0.11943620178041543,0.14391691394658754,0.024480712166172106,0.7766668396133997,0.77610629869311,-0.0005605409202896761,1.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.0,2,2,0
