epoch,train_loss,validation_loss,validation_mode_macro_f1,validation_location_macro_f1,validation_joint_macro_f1,learning_rate
1,2.5308771897823874,1.724544525402573,0.6417000156059486,0.5986081828157866,0.5156014267594387,0.0003
2,1.3065800463833572,1.0456768843250979,0.7581965782707057,0.7102343249911973,0.6489613284884873,0.0003
3,0.8414037565344595,0.82493973004532,0.7987760269030453,0.753483689466271,0.7297055434347806,0.0003
4,0.615769414751009,0.9076934721236839,0.7856806091032863,0.7454049229423896,0.7091767230317934,0.0003
5,0.489826817667804,0.842842432277159,0.8089117117579324,0.7683211519570806,0.751736645480982,0.0003
6,0.3724472516569598,0.8743200524067563,0.8317187882326041,0.7764409178209198,0.7571713016968685,0.0003
7,0.29965815439078086,0.9640684132075762,0.8101403128156767,0.7662997208012058,0.747012807156232,0.0003
8,0.2435808474030988,1.014365060330291,0.8396805800760205,0.784047939267338,0.7714715374690075,0.0003
9,0.18101462105453242,1.1252246678110267,0.8363119242849776,0.7789264081093384,0.7622814799848802,0.0003
10,0.16252990311132995,1.1859689578333936,0.800637243711957,0.7710024492838994,0.7378184822952293,0.0003
11,0.1310138330811285,1.1880310662450904,0.8264603655073124,0.7927308620983528,0.7722338885688524,0.0003
12,0.1158369841749184,1.221705031232769,0.8130013620288863,0.7768753357509771,0.7539060059577356,0.0003
13,0.09934703234397589,1.2639593557350277,0.824963571953344,0.7785029227985891,0.7567298372041456,0.0003
14,0.07462373231790988,1.2597619561025672,0.8206054368055947,0.7836710609732466,0.7666466715297982,0.0003
15,0.06834306269655739,1.280873821151329,0.8327393224127747,0.7891064641390153,0.774408872776725,0.0003
16,0.0749091682380415,1.3426172440512139,0.8350701426794123,0.7843972197263482,0.7666593994500204,0.0003
17,0.07306214922917757,1.4676322720189954,0.8090861583277421,0.7720442282062325,0.7496218562697708,0.0003
18,0.061726630545895673,1.362799840207344,0.8243998761328211,0.7945633533252775,0.7729847103076835,0.0003
19,0.06031919758096052,1.390105273533243,0.830858857272608,0.779112497426787,0.7643448772637227,0.00015
20,0.04075493924747938,1.4700024397706968,0.8274990536158287,0.7849579173647895,0.764529401704767,0.00015
21,0.031484562632310205,1.4943082876372755,0.8397756038580657,0.7902705964177567,0.7750050929066963,0.00015
22,0.030184583422438852,1.5694358136292814,0.8266503265349431,0.7768382619773158,0.7590635510110554,0.00015
23,0.028483258232017587,1.570903986703099,0.8356185001772388,0.7837606761916212,0.7652759887265181,0.00015
24,0.02513739981827722,1.597511774657919,0.8313773339835987,0.7804432067797356,0.7616578495765794,0.00015
25,0.023332228087374077,1.6414495450042714,0.8352312529024921,0.7855446725547617,0.7686906926227304,7.5e-05
26,0.019819554171143134,1.6890530960132177,0.8308427036338863,0.7825887378946572,0.76216261356421,7.5e-05
27,0.0166405660042475,1.7350552613872634,0.8330034360248186,0.784628080168298,0.7656340064261051,7.5e-05
28,0.01605453136580429,1.65530373945144,0.8426143681800896,0.7910831629477436,0.7746207100662361,7.5e-05
