pair_id,environment_seed,depth_band_index,depth_band_m,nominal_raw_false_alarm_rate,high_raw_false_alarm_rate,delta_raw_false_alarm_rate,nominal_temporal_false_alarm_rate,high_temporal_false_alarm_rate,delta_temporal_false_alarm_rate
band0_rep0,930000,0,0-50,0.2318840579710145,0.2608695652173913,0.0289855072463768,0.2463768115942029,0.2463768115942029,0.0
band0_rep1,930001,0,0-50,0.37681159420289856,0.391304347826087,0.014492753623188415,0.4057971014492754,0.42028985507246375,0.01449275362318836
band0_rep2,930002,0,0-50,0.18840579710144928,0.2318840579710145,0.043478260869565216,0.17391304347826086,0.2608695652173913,0.08695652173913043
band0_rep3,930003,0,0-50,0.014492753623188406,0.057971014492753624,0.043478260869565216,0.0,0.057971014492753624,0.057971014492753624
band1_rep0,940000,1,50-150,0.028985507246376812,0.07246376811594203,0.043478260869565216,0.0,0.043478260869565216,0.043478260869565216
band1_rep1,940001,1,50-150,0.014492753623188406,0.014492753623188406,0.0,0.0,0.0,0.0
band1_rep2,940002,1,50-150,0.028985507246376812,0.057971014492753624,0.028985507246376812,0.0,0.0,0.0
band1_rep3,940003,1,50-150,0.08695652173913043,0.10144927536231885,0.014492753623188415,0.043478260869565216,0.13043478260869565,0.08695652173913043
band2_rep0,950000,2,150-300,0.0,0.0,0.0,0.0,0.0,0.0
band2_rep1,950001,2,150-300,0.17391304347826086,0.18840579710144928,0.014492753623188415,0.15942028985507245,0.2753623188405797,0.11594202898550726
band2_rep2,950002,2,150-300,0.0,0.0,0.0,0.0,0.0,0.0
band2_rep3,950003,2,150-300,0.0,0.0,0.0,0.0,0.0,0.0
