epoch,train_loss,validation_loss,validation_mode_macro_f1,validation_location_macro_f1,validation_joint_macro_f1,learning_rate
1,2.3839129965332733,1.4510509011739476,0.7065747700839586,0.6398775839736066,0.5560234608889153,0.0003
2,1.1823855072876504,0.9942280895343785,0.7530260270967366,0.7185046050593994,0.6779110333634157,0.0003
3,0.8212768590221916,0.8999896921908348,0.7737918441459531,0.7439185582491644,0.704491595396557,0.0003
4,0.5918206769753234,0.8575558107555702,0.807514924212986,0.759138171703581,0.7312000972216499,0.0003
5,0.44519658257221356,0.9670423250918827,0.8127064942779191,0.7694843580009435,0.7403352162455403,0.0003
6,0.36219380348121527,1.0414438630106455,0.8093371159551443,0.7664100142324035,0.7363631168599979,0.0003
7,0.29358658452371983,1.0347193198267208,0.7976153775985724,0.7671623227980484,0.7325752960891917,0.0003
8,0.2543047778085731,1.1621264535553602,0.8145900292796874,0.7681394151180546,0.7401441226127891,0.0003
9,0.2010713305601215,1.1790826239553438,0.8141317118935142,0.7801943529450456,0.7548045007124448,0.0003
10,0.17546512716117946,1.2590609231048102,0.804816292165607,0.764645152859502,0.7419755160348604,0.0003
11,0.15329190591971079,1.1329703864511775,0.8077527624352706,0.7635428754158119,0.7410999298391019,0.0003
12,0.14240807431411012,1.2774383399463494,0.8198112520698917,0.781250673355527,0.7538164336831927,0.0003
13,0.11816151592580751,1.2073598468854272,0.8052778498520933,0.7747575927556273,0.7550442792250768,0.0003
14,0.0888189717624836,1.3711228845284227,0.8063921427494113,0.7738794297927064,0.7492567079331134,0.0003
15,0.08346694485209454,1.3983478508582903,0.8081774817515429,0.7729249301862154,0.7497491830909299,0.0003
16,0.07651843752783377,1.4180879592895508,0.8178735412919421,0.7910646284628334,0.7702171472566948,0.0003
17,0.06390049891681963,1.4156848656162326,0.8263474724157343,0.786621805657629,0.7677400034527739,0.0003
18,0.06409604476672023,1.4690094914352685,0.8131465654530943,0.7866584120536482,0.7622669063807757,0.0003
19,0.049735687633127086,1.5954610262555629,0.8153331860383473,0.7778710910743031,0.7583489898044381,0.0003
20,0.0665423656537615,1.5747971864229797,0.8142535737626982,0.7791308188880114,0.7502921285337478,0.00015
21,0.04129987584676779,1.5724382366367535,0.8209174531721865,0.7858070014587434,0.763066093782114,0.00015
22,0.032788823373701384,1.6047142787172595,0.8199142567128798,0.7868127813342547,0.7632685658707588,0.00015
23,0.02838198868821864,1.6418581046470808,0.8237480140248445,0.785622009101666,0.7699803958159159,0.00015
