pair_id,environment_seed,depth_band_index,depth_band_m,baseline_raw_false_alarm_rate,candidate_raw_false_alarm_rate,delta_raw_false_alarm_rate,baseline_temporal_false_alarm_rate,candidate_temporal_false_alarm_rate,delta_temporal_false_alarm_rate
band0_rep0,960000,0,0-50,0.028985507246376812,0.5942028985507246,0.5652173913043478,0.0,0.6521739130434783,0.6521739130434783
band0_rep1,960001,0,0-50,0.0,0.014492753623188406,0.014492753623188406,0.0,0.0,0.0
band0_rep2,960002,0,0-50,0.0,0.0,0.0,0.0,0.0,0.0
band0_rep3,960003,0,0-50,0.0,0.2608695652173913,0.2608695652173913,0.0,0.2753623188405797,0.2753623188405797
band1_rep0,970000,1,50-150,0.0,0.11594202898550725,0.11594202898550725,0.0,0.057971014492753624,0.057971014492753624
band1_rep1,970001,1,50-150,0.0,0.014492753623188406,0.014492753623188406,0.0,0.0,0.0
band1_rep2,970002,1,50-150,0.13043478260869565,0.3333333333333333,0.20289855072463767,0.18840579710144928,0.37681159420289856,0.18840579710144928
band1_rep3,970003,1,50-150,0.014492753623188406,0.11594202898550725,0.10144927536231885,0.0,0.14492753623188406,0.14492753623188406
band2_rep0,980000,2,150-300,0.0,0.21739130434782608,0.21739130434782608,0.0,0.2463768115942029,0.2463768115942029
band2_rep1,980001,2,150-300,0.8115942028985508,0.8405797101449275,0.02898550724637672,0.8115942028985508,0.8840579710144928,0.07246376811594202
band2_rep2,980002,2,150-300,0.11594202898550725,0.30434782608695654,0.18840579710144928,0.17391304347826086,0.30434782608695654,0.13043478260869568
band2_rep3,980003,2,150-300,0.028985507246376812,0.11594202898550725,0.08695652173913043,0.0,0.07246376811594203,0.07246376811594203
