time_s,time_from_fault_s,fault_label,target_depth_m,true_depth_m,measured_depth_m,depth_measurement_error_m,tracking_error_m,commanded_vertical_speed_mps,actual_vertical_speed_mps,expected_current_a,measured_current_a
0.1,-39.9,0,0.0,-0.0001,-0.026965473130437956,-0.026865473130437956,0.0001,0.0,-0.001,2.0,2.101064916893139
0.2,-39.8,0,0.12,-0.000101951,-0.015544330807080375,-0.015442379807080376,0.120101951,0.0022508,-1.9509999999999927e-05,2.033762,1.9177645593459804
0.30000000000000004,-39.7,0,0.24,0.03957266789686065,0.11576426607524548,0.07619159817838483,0.20042733210313934,0.662922346108,0.3967461889686065,11.94383519162,11.500123486651109
0.4,-39.6,0,0.36,0.09877343982016347,0.1461793414243467,0.04740590160418322,0.26122656017983653,0.7463095078320915,0.5920077192330282,13.194642617481373,13.098310983350595
0.5,-39.5,0,0.48,0.17073638817771083,0.12274220138795774,-0.04799418678975309,0.3092636118222891,0.8418189314259468,0.7196294835754736,14.627283971389202,14.36129263409269
0.6,-39.4,0,0.6,0.25231076088380766,0.21649330666476685,-0.03581745421904081,0.3476892391161923,0.9260991401239227,0.8157437270609679,15.891487101858841,15.266275260404845
0.7,-39.3,0,0.72,0.34149446791038185,0.39237774585744234,0.05088327794706049,0.3785055320896181,0.996110449225962,0.8918370702657421,16.94165673838943,17.37612305648309
0.7999999999999999,-39.2,0,0.84,0.4367981395276028,0.40778783441082506,-0.029010305116777768,0.40320186047239714,1.0533512229548114,0.9530367161722096,17.80026834432217,18.551727749912903
0.8999999999999999,-39.1,0,0.96,0.5370496849450181,0.4681470382348225,-0.06890264671019564,0.4229503150549818,1.0999577650235977,1.002515454174153,18.499366475353966,19.363610516712157
0.9999999999999999,-39.0,0,1.08,0.6413098524695988,0.5764617013921604,-0.06484815107743847,0.43869014753040125,1.1378688825999164,1.0426016752458063,19.068033238998744,19.01193772405585
1.0999999999999999,-38.9,0,1.2000000000000002,0.748821223319301,0.7473544650688884,-0.0014667582504126475,0.45117877668069917,1.1687021186472124,1.0751137084970221,19.530531779708188,19.66696822301919
1.2,-38.8,0,1.3200000000000003,0.8589713317531549,0.7853270193010389,-0.073644312452116,0.4610286682468454,1.1937795117610381,1.1015010843385389,19.906692676415574,19.712143007546903
1.3,-38.7,0,1.4400000000000004,0.9712641426710773,0.9677234376601968,-0.0035407050108805516,0.4687358573289231,1.2141762572699233,1.1229281091792236,20.21264385904885,20.47282128637108
1.4000000000000001,-38.6,0,1.5600000000000005,1.0852974757352163,1.1115719065879637,0.026274430852747388,0.4747025242647842,1.2307660093815433,1.1403333306413905,20.46149014072315,20.605063826433273
1.5000000000000002,-38.5,0,1.6800000000000006,1.2007449726925759,1.1558486474712149,-0.044896325221361,0.47925502730742475,1.2442587304766648,1.1544749695735965,20.66388095714997,20.502746594566347
