time_s,time_from_fault_s,fault_label,target_depth_m,true_depth_m,measured_depth_m,depth_measurement_error_m,tracking_error_m,commanded_vertical_speed_mps,actual_vertical_speed_mps,expected_current_a,measured_current_a
78.39999999999982,38.39999999999982,8,38.76000000000045,42.15336200222628,42.08536456666002,-0.06799743556626225,-3.393362002225828,-1.9284920903177194,-0.6224603216089301,30.927381354765792,30.70760410777192
78.49999999999982,38.499999999999815,8,38.640000000000455,42.01493501472372,41.9521196118301,-0.06281540289361942,-3.3749350147232633,-1.9298898341728252,-0.6229214437615265,30.948347512592377,31.334777822007396
78.59999999999981,38.59999999999981,8,38.52000000000046,41.87640709202757,41.84831504094036,-0.02809205108720647,-3.356407092027112,-1.9312664563628446,-0.6233756521326714,30.968996845442668,30.220404334916108
78.6999999999998,38.699999999999804,8,38.40000000000046,41.73777975128992,41.67103502087888,-0.06674473041103823,-3.3377797512894603,-1.9326222248761884,-0.6238230333194241,30.989333373142827,31.03746453706762
78.7999999999998,38.7999999999998,8,38.28000000000046,41.59905449071172,41.56941575647842,-0.02963873423330199,-3.3190544907112596,-1.9339574035966922,-0.6242636726018801,31.009361053950382,30.940299524972755
78.89999999999979,38.89999999999979,8,38.160000000000466,41.46023278982923,41.41874625244611,-0.04148653738311481,-3.300232789828762,-1.9352722523907457,-0.6246976539712396,31.029083785861186,31.065976994732214
78.99999999999979,38.99999999999979,8,38.04000000000047,41.32131610979428,41.2723836945217,-0.04893241527258141,-3.2813161097938135,-1.936567027192478,-0.6251250601572529,31.04850540788717,31.0682573069347
79.09999999999978,39.09999999999978,8,37.92000000000047,41.18230589364872,41.12922745763668,-0.053078436012036434,-3.2623058936482465,-1.9378419800870397,-0.6255459726550545,31.067629701305595,30.78557402787825
79.19999999999978,39.199999999999775,8,37.80000000000047,41.04320356659285,41.04839409221804,0.0051905256251885135,-3.2432035665923777,-1.9390973593920433,-0.6259604717514067,31.08646039088065,30.721473323919763
79.29999999999977,39.29999999999977,8,37.680000000000476,40.90401053624833,40.92729180503317,0.02328126878484227,-3.224010536247853,-1.9403334097371923,-0.6263686365503619,31.105001146057884,31.146349226518257
79.39999999999976,39.399999999999764,8,37.56000000000048,40.764728192915356,40.72892447909551,-0.035803713819845484,-3.204728192914878,-1.941550372142153,-0.6267705449983607,31.123255582132295,30.908437889344274
79.49999999999976,39.49999999999976,8,37.44000000000048,40.625357909824515,40.555193043378665,-0.0701648664458503,-3.1853579098240346,-1.9427484840927116,-0.6271662739087794,31.141227261390675,31.22820433574009
79.59999999999975,39.59999999999975,8,37.32000000000048,40.485901043383194,40.47893675669838,-0.006964286684812748,-3.1659010433827106,-1.9439279796152562,-0.6275558989859397,31.158919694228842,31.88491257542613
79.69999999999975,39.69999999999975,8,37.200000000000486,40.34635893341684,40.34020676968928,-0.006152163727556115,-3.1463589334163515,-1.9450890893496233,-0.6279394948485921,31.17633634024435,31.29332931384733
79.79999999999974,39.79999999999974,8,37.08000000000049,40.20673290340508,40.13374006845197,-0.07299283495311215,-3.1267329034045943,-1.9462320406203553,-0.6283171350528911,31.19348060930533,31.67213926621343
79.89999999999974,39.899999999999736,8,36.96000000000049,40.06702426071289,40.07006993978265,0.003045679069757057,-3.1070242607124,-1.947357057506404,-0.6286888921148668,31.21035586259606,31.379751093073548
