epoch,train_loss,validation_loss,validation_mode_macro_f1,validation_location_macro_f1,validation_joint_macro_f1,learning_rate
1,2.5313298039783465,1.7305741340850274,0.6400987349983519,0.5855819569287098,0.5093352626384513,0.0003
2,1.3321631048556946,1.0535576521944838,0.7327657553574922,0.7091799820586712,0.6394158806299989,0.0003
3,0.8878580573509479,0.8445745755641895,0.7949387576420058,0.7423868245820293,0.7153428898649619,0.0003
4,0.665010355021305,0.8591446715189999,0.8072352364037952,0.7522290906283633,0.7169070317293333,0.0003
5,0.5083549616071913,0.8379279913716191,0.8037073297989267,0.7474838078633549,0.7293775478032513,0.0003
6,0.3952992804662478,0.91227664035834,0.8213984303373221,0.7667574071428859,0.7470377837339679,0.0003
7,0.3129540219526181,0.9050257947766734,0.8285176420005832,0.7683597921442077,0.7510429962456696,0.0003
8,0.2465492037726545,1.0331453495968042,0.8303286409953877,0.7600881010416668,0.7441767535382333,0.0003
9,0.18533948095137132,1.121965776666108,0.8370845955928186,0.7817758406317247,0.77271399570864,0.0003
10,0.15938943867254074,1.1846003412047978,0.8328198374248341,0.7665940202302659,0.7492529491629706,0.0003
11,0.1330615351688816,1.2276833816279744,0.8375922121701564,0.7833981018529971,0.757624374441032,0.0003
12,0.11771876178025285,1.2292090828940299,0.8122417308444615,0.7758226680068162,0.7499868894415408,0.0003
13,0.09025434140272981,1.3762603224369518,0.8304953395737104,0.7676367362639916,0.7451249965766,0.00015
14,0.07007093498533257,1.4242444130583045,0.8457095699992959,0.7830005643775308,0.7713510222087249,0.00015
15,0.05561250619675921,1.4830511125919001,0.8428287407678022,0.7845916489076018,0.7676889194020787,0.00015
16,0.053084193393873526,1.4818009170972015,0.843839422350392,0.7707416857144713,0.7532256233414714,0.00015
