epoch,train_loss,validation_loss,validation_mode_macro_f1,validation_location_macro_f1,validation_joint_macro_f1,learning_rate
1,2.3968997677258606,1.4921322270102113,0.6693220649785309,0.6291343818568872,0.5410357114367854,0.0003
2,1.1818510390606876,0.9935255453572067,0.758853705347923,0.7201645816144193,0.6830313811553239,0.0003
3,0.7813111687985417,0.9091169713775274,0.794619472326016,0.7535823303718198,0.7220950368839776,0.0003
4,0.569632963567858,0.8404649656987557,0.8166831032042817,0.7759672235182931,0.7572693797206358,0.0003
5,0.4180802365920553,0.8380010372159133,0.8354304727389342,0.7874777057204778,0.7685630937019242,0.0003
6,0.33798780995310496,0.9193519877567967,0.8420669095008216,0.7872509353481201,0.7758516835329854,0.0003
7,0.2887195113609577,0.9831987344104672,0.8154569671015142,0.7706338738875748,0.7458130561767933,0.0003
8,0.23633868428025667,0.966581885634551,0.8541166969943901,0.8037752766956204,0.7933674435647691,0.0003
9,0.19843045276471938,1.0783324637722038,0.8327403706464359,0.7962076250172724,0.7720653436234927,0.0003
10,0.1624673137262863,1.0504854489431303,0.8320617490469443,0.7914046495145728,0.7830179006617529,0.0003
11,0.12721951465725442,1.0662904299590223,0.8411147349529813,0.8004212742623135,0.7842264863738511,0.0003
12,0.11089161053471182,1.215084851364316,0.8301349318164748,0.796742782642423,0.7775377032824353,0.00015
13,0.0773881570817867,1.1673196129503534,0.8445272615775673,0.8103683249926122,0.7966872213532175,0.00015
14,0.06677839622872087,1.2352197331593449,0.8456283623779535,0.8089287019856836,0.7959136373362186,0.00015
15,0.057698453044754336,1.2870636273147469,0.8397039330239147,0.8034332600025476,0.7888191915072247,0.00015
16,0.05303716890656628,1.346133440060723,0.8498060276802911,0.8103295633840377,0.7979203762763833,0.00015
17,0.050846091072107184,1.3842632374454475,0.8580154410429278,0.8140563214093012,0.8055430271760815,0.00015
18,0.0473655891795268,1.3941812738055956,0.8452220043909645,0.8083868863308709,0.7940925980789721,0.00015
19,0.04425590404262945,1.5228968104537652,0.8469284888626992,0.8070639651846492,0.7935756199749704,0.00015
20,0.046866402949181554,1.410526159541222,0.8545009786766403,0.8095742715138657,0.8014523638039768,0.00015
21,0.035993737027448715,1.5079273021737607,0.847880169805498,0.8110048840636691,0.7966718798943844,7.5e-05
22,0.031207529855214088,1.4781867282347059,0.8476123683855779,0.8122246238641387,0.7995117485548285,7.5e-05
23,0.025139415664919493,1.556111506480194,0.8504621019702169,0.8142652450641256,0.8022404693483763,7.5e-05
24,0.025890035479975385,1.553983830910535,0.8454577421226261,0.8116379532728243,0.7982382969614281,7.5e-05
