variant,split,best_epoch,masked_raw_feature_count,raw_false_alarm_rate,temporal_false_alarm_rate,wholly_normal_mission_raw_far,pre_fault_segment_raw_far,raw_episode_count,raw_episodes_at_least_8_s,mode_macro_f1,joint_macro_f1,normal_recall,no_output_recall,thrust_loss_recall,fault_detection_recall,formal_ticket_count,false_maintenance_tickets,no_output_ticket_recall,thrust_loss_ticket_recall,mean_ticket_detection_delay_s
baseline,validation,21,0,0.07925407925407925,0.08080808080808081,0.12560386473429952,0.07037037037037037,30,5,0.8397756038580657,0.7750050929066963,0.9207459207459208,0.9863201094391245,0.584516129032258,0.7802124833997344,30,1,1.0,0.6111111111111112,13.124137483794113
baseline,test,21,0,0.1142433234421365,0.11943620178041543,0.26570048309178745,0.08676599474145487,36,8,0.8696636198259257,0.7766668396133997,0.8857566765578635,0.9945652173913043,0.7181303116147308,0.8592233009708737,32,2,1.0,0.6666666666666666,8.836666615804036
motion_loss_evidence,validation,9,6,0.11344211344211344,0.10256410256410256,0.15458937198067632,0.10555555555555556,36,6,0.8370845955928186,0.77271399570864,0.8865578865578866,0.987688098495212,0.6167741935483871,0.797476759628154,30,0,1.0,0.6666666666666666,13.339999516805014
motion_loss_evidence,test,9,6,0.1609792284866469,0.14391691394658754,0.3333333333333333,0.12971078001752848,52,11,0.8599628890373358,0.77610629869311,0.8390207715133531,0.9932065217391305,0.7549575070821529,0.8772538141470181,32,2,1.0,0.6666666666666666,9.020000076293945
