variant,split,best_epoch,masked_raw_feature_count,raw_false_alarm_rate,temporal_false_alarm_rate,wholly_normal_mission_raw_far,pre_fault_segment_raw_far,raw_episode_count,raw_episodes_at_least_8_s,mode_macro_f1,joint_macro_f1,normal_recall,no_output_recall,thrust_loss_recall,fault_detection_recall,formal_ticket_count,false_maintenance_tickets,no_output_ticket_recall,thrust_loss_ticket_recall,mean_ticket_detection_delay_s
baseline,validation,17,0,0.08702408702408702,0.07692307692307693,0.18357487922705315,0.06851851851851852,32,4,0.8580154410429278,0.8055430271760815,0.912975912975913,0.9890560875512996,0.6477419354838709,0.8134130146082338,30,0,1.0,0.6666666666666666,12.38166618347168
baseline,test,17,0,0.1261127596439169,0.12388724035608309,0.3188405797101449,0.09114811568799298,49,8,0.8881951206326694,0.7980933505757034,0.8738872403560831,0.9932065217391305,0.8031161473087819,0.9001386962552012,32,0,1.0,0.7777777777777778,10.293749928474426
motion_loss_evidence,validation,14,6,0.059052059052059055,0.05672105672105672,0.13043478260869565,0.04537037037037037,23,4,0.863102552012415,0.805416102643554,0.940947940947941,0.9890560875512996,0.6283870967741936,0.8034528552456839,31,0,1.0,0.7222222222222222,11.422580226775139
motion_loss_evidence,test,14,6,0.10237388724035608,0.09198813056379822,0.24154589371980675,0.07712532865907099,48,6,0.8889676590401724,0.8006937436605036,0.8976261127596439,0.9945652173913043,0.7677053824362606,0.883495145631068,32,0,1.0,0.7777777777777778,9.590624928474426
simplified_response_residual,validation,16,9,0.06060606060606061,0.04972804972804973,0.15458937198067632,0.04259259259259259,26,4,0.8178735412919421,0.7702171472566948,0.9393939393939394,0.9904240766073872,0.49806451612903224,0.7377158034528553,24,0,1.0,0.3333333333333333,8.87916628519694
simplified_response_residual,test,16,9,0.0897626112759644,0.08753709198813056,0.1497584541062802,0.07887817703768624,34,6,0.8852169293858041,0.7957578394142727,0.9102373887240356,0.9945652173913043,0.7351274787535411,0.8675450762829403,28,0,1.0,0.5555555555555556,9.307142802647181
motion_plus_response,validation,15,15,0.11499611499611499,0.10023310023310024,0.14492753623188406,0.10925925925925926,41,7,0.8190771133352074,0.7669773877355429,0.885003885003885,0.9904240766073872,0.5625806451612904,0.7715803452855245,27,1,1.0,0.4444444444444444,11.130768849299503
motion_plus_response,test,15,15,0.10608308605341246,0.10089020771513353,0.20772946859903382,0.0876424189307625,36,7,0.8842056143379442,0.8088739485008675,0.8939169139465876,0.9945652173913043,0.7563739376770539,0.8779472954230236,31,1,1.0,0.6666666666666666,9.364999898274739
