epoch,train_loss,validation_loss,validation_mode_macro_f1,validation_location_macro_f1,validation_joint_macro_f1,learning_rate
1,2.3893670371848503,1.4598985307326762,0.6929890573235163,0.6408729320116036,0.556523915543416,0.0003
2,1.195498074151547,1.0059417219431734,0.7592155274711532,0.7296681396359818,0.677991124376305,0.0003
3,0.8231394222412987,0.919921087100435,0.772668205449983,0.7401574487735374,0.698944972904987,0.0003
4,0.5883530728935739,0.8622403511043266,0.806937173739459,0.771870437482983,0.7427485185859566,0.0003
5,0.4535600771940531,0.8807000709271456,0.8109088185874634,0.7899545013264234,0.7576648684142593,0.0003
6,0.3645507451492251,0.9295735592232611,0.7991091544823611,0.7668744095250173,0.7317918309694893,0.0003
7,0.29923892656048595,0.9911889568947567,0.7974257609635259,0.7719478337910931,0.7371864828022583,0.0003
8,0.2554691585955492,1.0265667155955882,0.8210047456790983,0.7695225371381467,0.7494339147692541,0.0003
9,0.21430639905034354,1.1344559553742537,0.7950720014415493,0.7558369064920356,0.7283669399539259,0.00015
10,0.1680160373791881,1.0951066671030691,0.81140488741657,0.7767913285724551,0.753370078472071,0.00015
11,0.12660525794686942,1.1369971197820077,0.8155831720109278,0.7791534785861977,0.7611389589375231,0.00015
12,0.12340612495082548,1.2468032587654394,0.7987260291406565,0.7698281539296516,0.744177606121011,0.00015
13,0.11275552392691031,1.2128753502480751,0.8031376071662207,0.7705797054198797,0.7457194460507168,0.00015
14,0.09723837594876344,1.2276463428364832,0.8088243508095495,0.7709524192926994,0.7535542131147726,0.00015
15,0.08333647332200603,1.276657156819645,0.8190771133352074,0.778918466956883,0.7669773877355429,0.00015
16,0.08428707957724502,1.3015907714753607,0.8133930288268209,0.7727901667009138,0.7560609644764746,0.00015
17,0.07247077071232814,1.3465468379873295,0.8167709783460652,0.7793016413236599,0.7579218468292699,0.00015
18,0.07413399470377699,1.3111699553659386,0.8095683018009682,0.7758291562263616,0.7560043435012784,0.00015
19,0.06582640449719868,1.4252111880189409,0.8171433441948158,0.7749036856832375,0.7516360646916114,7.5e-05
20,0.05568139239060924,1.369529173701116,0.822169605299659,0.7740878150519015,0.7582871537011902,7.5e-05
21,0.045034925227420995,1.4432926119931744,0.8208854750208134,0.7772875853178213,0.7570852439140325,7.5e-05
22,0.04482353610925063,1.4866789593476357,0.8206342269781297,0.768009292340836,0.748243892472823,7.5e-05
